,Average1,Average5,TasksTotal,CpuUs,CpuSy,CpuId,MemBuff,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,species
453,0.2257333598521432,0.2676303494237891,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,-0.13850502201226905,-1.0684009063203441,0.8365117065091769,-0.8463575159450196,-1.5679937361915712,-0.1642438102769864,-0.9671365520436972,fio
1712,0.2564093770714444,0.3348404520527836,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.36349093295353024,-1.0354662305851614,1.9550433743726316,-0.8451982561066117,0.4555813607054733,-0.1642438102769864,-0.9432979964062573,fio
317,0.2783208179423739,0.2278021404584589,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.1426714277704403,-1.0720560216705883,1.9995866708804682,-0.8463575159450196,-0.546966118807446,-0.1642438102769864,-0.9459130366908096,fio
1553,0.20820420715539953,0.3074585583891193,-0.6033789857086168,-0.7567046793692014,-1.0293312976549303,0.14481056954339414,-1.039718940552218,1.984738905377856,-0.8363105973454841,-0.459185463919218,-0.1642438102769864,-0.9443591721739018,fio
1474,0.2432625125488869,0.3174156106304516,-0.6033789857086168,-0.760356374248886,-1.0293312976549303,0.3822956977591697,-1.0418027941944643,2.0243329467181552,-0.846159668932598,1.2640873925707308,-0.1642438102769864,-0.9439801808283145,fio
1544,0.19724848671993456,0.3049692953287862,-0.6033789857086168,-0.760356374248886,-0.9810341298933545,0.0364840198309345,-1.0399919794719685,1.974840395042781,-0.846159668932598,-0.2189436715935415,-0.1642438102769864,-0.9438285842900795,fio
1789,0.2016307748941204,0.3199048736907847,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.3968221790189025,-1.0335704131801016,2.068876243225992,-0.8463575159450196,2.2573948031480473,-0.1642438102769864,-0.9373099331459783,fio
2433,0.2432625125488869,0.3298619259321175,-0.5760110060571682,-0.760356374248886,-0.9810341298933545,0.3781292920009985,-1.016781095454314,1.9946374157129307,-0.8463575159450196,0.25229984412220857,-0.1642438102769864,-0.9424642154459654,fio
1094,0.21915992759086408,0.3174156106304516,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.03231761407276323,-1.0516940154382546,1.9797896502103185,-0.83669701729162,0.04670831030504309,-0.1642438102769864,-0.9445486678466954,fio
2067,0.19943963080702748,0.31243708450978547,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.26980274228853945,-1.0265332213993632,2.0490792225558425,-0.8451982561066117,-0.459185463919218,-0.1642438102769864,-0.9439422816937557,fio
2287,0.20820420715539953,0.3099478214494524,-0.5896949958828924,-0.753052984489517,-0.9810341298933545,-0.09684096443055394,-1.0207350081129645,2.0589777328909173,-0.846159668932598,-0.302104292013968,-0.1642438102769864,-0.940000771699648,fio
287,0.26736509750690934,0.2078880359757938,-0.5623270162314438,-0.7567046793692014,-0.9810341298933545,0.3781292920009985,-1.0728571075577809,2.0490792225558425,-0.846159668932598,-0.31827441265127315,-0.1642438102769864,-0.9445486678466954,fio
